"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.674316953879183,0.0543045711844536,0.322683619276786,0.250694646250978,0.655500416164968,0.0492694641559261,0.996746175154289,0.00830944726636075,0.532695139284026,0.383694502394652,0.976633725417052,0.0724751235506772,0.538199579128303,0.102042335785666,1.75054495743607,0.584036697155404,20.8976286137755,2.53155475603472,0.52924353786694,0.0301847055026203
"East Delta",0.441445686308525,0.0444801828824501,0.257722180859154,0.162735891272169,0.369465500580018,0.0847843651746827,1,0,0.605725810474776,0.326345831608849,0.831814225650461,0.143267415862672,0.0282565799528206,0.058245702981532,0.0816229152065586,0.00231110419752242,20.4739328016351,3.47676930345287,0.23486035165121,0.0111029989053063
"Lower Sacramento River",0.646191314495704,0.0415478437734768,0.318888737363627,0.286930405986183,0.634193124053358,0.0304060964391349,1,0,0.518987158934911,0.435216613075858,0.979204081983844,0.0618653277143408,0.403408105628848,0.0798908880523406,0.557723887373495,0.212735299091251,20.6645942432242,2.91297721316575,0.481401002431023,0.022545765154881
"Lower San Joaquin River",0.481374743426479,0.0792297380716942,0.173957819160173,0.240753528143629,0.381923123600569,0.164530727205075,1,0,0.336388877209623,0.460969455314577,0.726300524753879,0.297415586990865,0.107299589277247,0.137845129181787,0.290633895782239,0.104252716217266,21.9679880419443,3.16096982277139,0.329902844554678,0.013717152238396
"NE Suisun",0.590226427295588,0.152176133433946,0.335723933403426,0.155115708895334,0.583373769233241,0.140016192366264,0.641281763392366,0.215904764585278,0.643881265890975,0.336746470616975,0.993208882773066,0.0210572795947169,0.800319378756069,0.131430813448553,5.60720152012975,1.09689227021302,20.7961714689051,2.25505436922894,0.464829756321842,0.0203009182280447
"NW Suisun",0.40549357634061,0.135314855687886,0.233198836525119,0.0802656834296879,0.397344717226947,0.120502366938297,0.246392463557902,0.255138045721151,0.733384904424585,0.262435490440076,0.992341520417145,0.0236134765520559,0.830478498131894,0.132995846931186,8.33329360176325,1.09903080542542,20.0254511062401,2.39866006966777,0.463772285865268,0.0317942769277237
"SE Suisun",0.411622335731701,0.110558214676218,0.215113440408715,0.123240199573863,0.407189817934015,0.102197797083827,0.523753579450379,0.132219876889103,0.609146500490745,0.38077366409279,0.994230184397516,0.0181943500635437,0.694849283744098,0.146982101601962,6.48058943171957,1.10511048942491,20.879207607486,2.29729456725617,0.82700031301186,0.0395387450898071
"SW Suisun",0.155041669945892,0.0195643105447669,0.110477701838425,0.0520509434052705,0.154902585904752,0.0194442942327395,0.00974840033327851,0.011950785969602,0.738408529710748,0.338479727050542,0.99910992978143,0.00281464916816392,0.670518645396898,0.129670966886147,13.9368806240706,1.16367512406875,20.4995846936347,2.32330720745871,0.890005376093483,0.0584855452949132
"Sacramento River",0.421516861667162,0.0162421228292486,0.339849099887037,0.0812409483202108,0.42021470809178,0.015254507284025,1,0,0.91175069006301,0.0974991303808593,0.993876314374104,0.00616326702627481,0.014397190498064,0.0228592673351353,0.0788190832773743,0.000978047295923853,18.6847245767853,3.11743336857467,0.532049880407982,0.0346608580523296
"South Delta",0.479278036341342,0.0496777688754648,0.173604641997624,0.214699103630017,0.265106072864794,0.174921968414386,1,0,0.369059223315112,0.438778593963407,0.54861310770235,0.348974514407795,0.122446797135722,0.0727610061458946,0.192995772058748,0.0198675796383776,22.1625234063543,3.63989190515723,0.251811649799427,0.0192121395236661
"Suisun Marsh",0.636586460350606,0.198799575586999,0.308080742411595,0.18059525157443,0.592506595695822,0.148516836448036,0.662084517422294,0.242069541582375,0.577184732978825,0.325580064925889,0.950510554060852,0.114999561579663,0.770248078601903,0.0884688416477258,5.31755595208089,0.647502405904375,20.5707497646625,2.64342061067311,0.341995282019019,0.0227663468884763
"Yolo Bypass",0.54755953252522,0.0118731772612681,0.21080195824464,0.187757656541609,0.344831591816561,0.137123018967991,1,0,0.401600402013913,0.396869907778628,0.691574098097418,0.256761448048869,0.223617516184892,0.0195432862099598,0.108131038049974,0.00596821827623597,21.5763958771659,3.65063117281694,0.228273804201774,0.0105750918801973
"SummerFall",0.590647076266526,0.1623023361464,0.295712983894282,0.209478100148558,0.569886213285274,0.141135045185711,0.726305789033621,0.355857078154479,0.590562983905587,0.354244457042303,0.974672470469723,0.0742424778633434,0.635583565372737,0.201014409484408,3.98977959966343,3.17176716281423,20.5396059319756,2.54603920577055,0.454103027045563,0.0746043691570161
"Delta",0.490887799859001,0.165102977731395,0.25000855928136,0.188254196062166,0.433879335263902,0.183087693179768,0.756667241609209,0.352289174826667,0.581517769565938,0.379360187444312,0.88978476245076,0.214641853673516,0.43366993686973,0.323181684715922,3.56133272324571,4.31864497296414,20.7665793501511,2.90985940112462,0.464595507018709,0.208577420279205
