"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.441950462185658,0.187578554439353,0.106408265738285,0.129779654313763,0.398827229014098,0.156306159069558,0.536444825991194,0.291508189204359,0.382268712423269,0.433313153189432,0.933218317138937,0.0877584202494243,0.540867927669936,0.0998941273621222,6.27376970492541,1.62976081104861,21.8776361242134,2.22801309740069,0.520286856770186,0.0249352604445591
"East Delta",0.441281421879662,0.0438401389134385,0.0963389806576183,0.187155928509669,0.18991994390472,0.203044532479722,1,0,0.216369720924084,0.402122994578224,0.435284167799123,0.447625453936407,0.027833731277498,0.0577235127480644,0.097047666305997,0.011661260947164,23.3784515638338,3.45987154096579,0.200304641494649,0.0105767311595626
"Lower Sacramento River",0.612815953095537,0.0752589675144301,0.157006509568232,0.241011131281664,0.409789175242546,0.144758276893075,0.907927812488082,0.0636857255459873,0.303275439028926,0.399081727939092,0.724034812149659,0.259018502494893,0.40351389918865,0.0804086756007333,3.76489682958731,0.968530491111358,22.3316840987253,2.47018981744252,0.465832355297598,0.0198279882855265
"Lower San Joaquin River",0.482874058832999,0.079964924002973,0.128697337823614,0.230141693655509,0.283319522677433,0.194091314996646,0.999117898878143,0.00112180773149738,0.236011670212114,0.407911369136092,0.554779191038161,0.386485568548101,0.108871688529266,0.138186135810297,1.00504761336125,0.360529565636402,22.8797613161487,2.84103630755946,0.3207994075816,0.0130493500152044
"NE Suisun",0.318413939411062,0.0444412192077633,0.117367726067557,0.121364170046019,0.308574081974091,0.0447617392394556,0.0264086797383219,0.0776301775647671,0.417650979507542,0.429074333903862,0.973034556447863,0.0468546007735474,0.800216873192069,0.131596441027764,10.8838405888517,2.22367586371155,21.6248164832142,2.17987715900465,0.459303326311611,0.0208292055007895
"NW Suisun",0.306582787791955,0.025397887609205,0.125068622653232,0.114538775491698,0.292877733294054,0.0188149001524198,1.30102418798466e-05,4.1141997250026e-05,0.571859443422219,0.324373430792288,0.973190963243664,0.0398804408013367,0.830602873976239,0.132888082451565,13.0797962493808,1.66539561831068,20.2229061056375,2.77797105643623,0.430975981140921,0.0337887599724698
"SE Suisun",0.215387720109471,0.0476704187531758,0.0698219250033539,0.0829865079514857,0.210149474513653,0.0476804099957564,0.0585364578826437,0.105451755477349,0.375714579406094,0.462455051844501,0.978030307643954,0.0466163335181356,0.694501958628816,0.146942528113831,11.5780718222271,2.15038634728092,21.7870195801328,2.12506117308014,0.795886499272193,0.0372015678922185
"SW Suisun",0.156185633186477,0.0213351183988056,0.0618917219621925,0.0677686257936534,0.154186554488177,0.0203305214902831,4.91168709308993e-06,1.55321183682156e-05,0.42600344747722,0.468349578499854,0.989630774576463,0.0207708644069261,0.673398131226628,0.129474632546656,17.965669846059,1.66964457176768,21.5506123895492,2.2177479766487,0.890826067865005,0.0707070494075334
"Sacramento River",0.428516340648343,0.0190447219456156,0.121591779152449,0.1824356238914,0.216610346965826,0.18937178140997,1,0,0.303298923054721,0.444235197244688,0.52578856961718,0.44683004788115,0.0140696993547659,0.0224089864049687,0.0998037207534826,0.0121887843234405,22.5991751370921,3.61893061739781,0.421140024511395,0.0273042245636403
"South Delta",0.480007260845138,0.0498538379195004,0.117966724141795,0.204092163989286,0.234267149807612,0.189434710051228,1,0,0.243094086254439,0.396734751878573,0.480948231753363,0.399174089304693,0.121147976148637,0.0731070841846657,0.370357049309325,0.0958131004914717,23.1999788314612,3.58796643354215,0.204001875855374,0.00833542558713696
"Suisun Marsh",0.334149292120206,0.0217392953788079,0.145624808940898,0.11982480739329,0.306922958318303,0.0262382287678346,0.0230972887068635,0.0309774470906167,0.497170318956052,0.351010310051606,0.922098328034512,0.0800920419464504,0.770622767587409,0.0905092257483272,8.81426764298925,0.57408675898288,20.967706210753,2.700281394714,0.330651282579267,0.0202937605085432
"Yolo Bypass",0.545617195853942,0.0092327718289503,0.157548650651077,0.182314648071005,0.281812742358498,0.168074717471732,1,0,0.306814125676778,0.364325463486902,0.57197130396661,0.327531732995231,0.217452910451841,0.021212917026132,0.107907359820339,0.0104075919529528,22.7273990521159,3.33995010646129,0.247630962171863,0.0355249276802727
"SummerFall",0.423874623798339,0.156569080461368,0.133527051725162,0.154977442457928,0.35210427396725,0.116405385873291,0.366870734357005,0.409895595201433,0.438643478457616,0.37912926282431,0.888135605141693,0.169363045344578,0.636401867105558,0.20074145839169,7.98318260672069,3.7006500168332,21.3499831348323,2.58822101777942,0.436936618946993,0.0741203416287467
"Delta",0.396981838830038,0.144741536810488,0.117111087696692,0.159409080882186,0.273938076046584,0.151793395751205,0.545962573801185,0.47051952552675,0.356627620528621,0.403600180670874,0.755167460284124,0.340202702508244,0.433591703102646,0.32385002982022,6.17003967446425,6.07517185471905,22.0955955744064,2.85966948535967,0.440636606737639,0.209983729924609
