"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.665416718731559,0.0443182579885559,0.520609589721942,0.170743599254423,0.665260447178309,0.0443191545972737,0.980374685310046,0.0121922347397884,0.798312613074495,0.247891974913202,0.99944701145577,0.000915486994610181,0.543439247331004,0.100591642466623,1.85174380440409,0.782738913749447,20.4399043512912,1.93367184650099,0.566383335976719,0.0460622776253014
"East Delta",0.440707827483869,0.043354849937546,0.321257806173047,0.113844100913409,0.401871348518619,0.060583471241592,1,0,0.745718968515538,0.200167555929484,0.916262509651607,0.0694521606140134,0.0274193316682195,0.0569651038180879,0.0812991260723778,0.00164068365861005,20.0420159840688,2.60966112265055,0.242217988240298,0.0133876436781308
"Lower Sacramento River",0.635031259891619,0.0362359587696612,0.471816458391999,0.161587860858734,0.634887783244589,0.0361172337152306,0.96785248092208,0.00114498824235637,0.759388751604361,0.253226587254561,0.999656287607471,0.000580243411085053,0.404117761592939,0.0805749056104431,1.30265423344544,0.269161277260122,20.3058643040462,2.20282868473915,0.503310900884413,0.0258207668383981
"Lower San Joaquin River",0.479345167508448,0.0812243556137967,0.252663601881647,0.20273318852348,0.458426393589305,0.0951539560675122,1,0,0.45629106637914,0.389048412253576,0.923421119034749,0.094053223853086,0.104699006795312,0.141023904245617,0.304187381012363,0.139023835354329,21.4836115193545,2.36984497636989,0.335564283177595,0.00991863308952294
"NE Suisun",0.594724827105465,0.182489033337553,0.515329418090517,0.173984116931718,0.594352907427313,0.182682158884908,0.642851877005222,0.303856149822808,0.866298381351559,0.18345306624696,0.999254631557342,0.00151366754438226,0.799861791464887,0.131374423684293,5.3520154185483,1.48314031631315,20.2397674818819,1.71330105671705,0.472263290935264,0.0128688341366472
"NW Suisun",0.455621550126959,0.147693074206409,0.393736794442719,0.146175608051793,0.454718760241556,0.148108828260609,0.372912933331754,0.261004718012608,0.90093774877359,0.131102346670717,0.998947704893903,0.00199195239840296,0.830667007223403,0.133000453112712,7.82867255026756,1.53295934975573,19.1549590347433,2.1313396618173,0.478745702879109,0.0315760035926384
"SE Suisun",0.410757144706383,0.124646667562402,0.351507529637778,0.117091134346845,0.410699137218464,0.124581890493551,0.533542984075706,0.188443597805111,0.862590672840015,0.193334057510728,0.999895615825616,0.000235116677370711,0.695012237356564,0.14736763546429,6.24854167895951,1.53831401909234,20.3437753291846,1.73980592688792,0.838697635576794,0.0254515406663672
"SW Suisun",0.143448087924706,0.0160496090162091,0.132067712970755,0.0173223319905306,0.1434474888418,0.0160488528763137,0.0254947402006352,0.0268282119957029,0.932215430035339,0.109339066591848,0.999994141803002,1.70286582499366e-05,0.673047416898821,0.12819474946776,13.4183020267103,1.57023461769646,19.9647491864576,1.79862419146748,0.943929858701767,0.0532821902061265
"Sacramento River",0.417830042402145,0.0166557146798554,0.382369736768123,0.0349939540553923,0.417643816151883,0.0166349268665296,1,0,0.963643541986471,0.0344949945732861,0.997005045118223,0.00289089735508516,0.0144412669981711,0.0230350620013143,0.0799116894545829,0.00123321622675998,18.8852926916498,2.54552026363679,0.553134379702704,0.039044011888069
"South Delta",0.480105830689104,0.0501747881123985,0.192228485187848,0.205436497678187,0.35988607314715,0.135317969621271,1,0,0.392621155941095,0.419480026578417,0.721796219926966,0.259137061712626,0.124863538794469,0.0741317666284662,0.185657098541714,0.0229087831702276,21.871824547181,3.02324213555099,0.27193395348452,0.0187527632623313
"Suisun Marsh",0.823374546301742,0.0814486268480777,0.673394522368133,0.175620125516275,0.820968241268642,0.0825605339709426,0.924707432019601,0.079819951825982,0.833100369711807,0.186841339213323,0.994027851308762,0.0107606466945526,0.770620563275213,0.0888226792418048,2.87316889790646,0.822154410859473,19.7405307477812,2.08605853841943,0.353793870820383,0.020435519746299
"Yolo Bypass",0.54996400499061,0.0132100983401956,0.26732003754071,0.155997312974718,0.412479579555993,0.0792639365749242,1,0,0.524343942655215,0.316331676022108,0.838955865140136,0.117990085254864,0.232912714028675,0.0234809496884033,0.111929852886521,0.00868737239096823,20.9006521109174,2.88701483061064,0.240541511292189,0.0145799109211273
"SummerFall",0.64486101876297,0.157504306070082,0.514889341231198,0.188391437706578,0.643958807983274,0.157300281509748,0.81146188289587,0.288816983012826,0.822934870791063,0.209233419852956,0.998019713816477,0.00578132398754806,0.63721114485564,0.200204742787808,3.46405987150589,2.77397061665147,19.9103146094654,2.07386202735007,0.475558452640156,0.0841837423670322
"Delta",0.508027250655217,0.181510164039808,0.372858474431268,0.206674781682927,0.481220164698635,0.192871638887145,0.787311427738754,0.334961382172158,0.752955220239052,0.298223174899338,0.949055333610296,0.119698047505323,0.435091823618973,0.323192679800435,3.30317364651744,4.11306321774268,20.2810789407131,2.33381141535085,0.483376392639313,0.216995340498281
