"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.597058102173379,0.150269982935093,0.268605985840828,0.149836902541921,0.592741755245963,0.147086331341569,0.877324971917034,0.192370942943216,0.548101224740308,0.345311795115877,0.994589676395556,0.00699836733912063,0.542038614041922,0.101617246265426,3.2293916335997,1.77475924317454,20.6294477700716,2.52623324453259,0.530250711341383,0.0264989688091924
"East Delta",0.441088468749567,0.0434174313536791,0.161184703953299,0.209348272654324,0.293826955663088,0.133430313539822,1,0,0.370860330947315,0.457456027939001,0.682439573366885,0.25774285032233,0.0275596945307916,0.0568751947939444,0.083215276601211,0.00483654719262448,21.8193697465685,3.29746723353232,0.215381800829668,0.00684404925059651
"Lower Sacramento River",0.642208352270913,0.0413990209548448,0.248707836676842,0.262930028131416,0.60017169773114,0.0472783326303984,0.986287971497012,0.0350666937748453,0.427530193167005,0.417456691133547,0.944178427188067,0.0722575836148618,0.402868488951468,0.0797902491099352,1.34078531057026,0.928043271175789,21.0235115475526,2.78233333822907,0.477501141465513,0.022773365190179
"Lower San Joaquin River",0.481479182652066,0.0795130529851746,0.183426670559899,0.239619403469964,0.355794654943317,0.140991178121306,0.999613812459922,0.00106619570001028,0.36396864627283,0.459586183402999,0.689889574484808,0.255408602219454,0.105606737129192,0.139747546952708,0.454265152685414,0.317086850852295,21.7403686276957,3.18425631145457,0.325018723816631,0.0141967279694068
"NE Suisun",0.457638124851768,0.199921066775926,0.306796964707613,0.159097357151926,0.455873156302389,0.198444905483493,0.325113674597427,0.350294010996815,0.709917088609049,0.244036933717676,0.998133161081001,0.00234817465900935,0.799915890754872,0.131566130182789,7.7466687235517,2.58121642302644,20.2642429728583,2.34333183799507,0.470226478267798,0.0219414635756097
"NW Suisun",0.341801732622628,0.114102365021317,0.254277183397539,0.118825094955401,0.339217655801084,0.112084771670819,0.137354967721294,0.210721379428462,0.816112073406096,0.15853544847457,0.997487050225371,0.00331888464428684,0.83070784844517,0.133124403353672,9.92404181438495,2.08902643381533,18.9238092154771,2.53394264280879,0.45081578804518,0.0359490985553561
"SE Suisun",0.321151306186406,0.160116742170463,0.201433141062147,0.125276496438278,0.320754567657482,0.159782574877489,0.302918497221461,0.260468173328855,0.687155881774517,0.270557262466486,0.999510912351075,0.00059302013040797,0.693581788143743,0.147451730016088,8.52170834396514,2.53861882432271,20.4006440040891,2.38247862291682,0.818367828746983,0.0352818890640213
"SW Suisun",0.142797022441532,0.0240902771346805,0.117502997642158,0.0279545101745283,0.142794929291411,0.0240871121618176,0.00793299032366143,0.0190181553334517,0.84140717867111,0.178368629324379,0.999986197574699,2.95270222692481e-05,0.67425156348811,0.12853892118049,15.5260718399706,2.13683794332421,20.0113445632971,2.42826193258433,0.94044594532134,0.0713303673589218
"Sacramento River",0.426698171362788,0.0184224571606149,0.201321186805848,0.166015874074298,0.395705817423012,0.0355236920658472,1,0,0.487371249561263,0.395627820208953,0.962517088034998,0.0567839380812186,0.0142639122455038,0.0227207101844421,0.0841787097375893,0.00773598394000448,20.8062980437141,2.76557290311114,0.472045114042387,0.0262846958521039
"South Delta",0.480338782981627,0.049775643450984,0.16834951278602,0.22316116246356,0.225760431824197,0.187761584208614,1,0,0.351538185097281,0.462475649113659,0.451427028341117,0.403205031283407,0.122424366879561,0.0737962267871919,0.216682102324917,0.0568528971303506,22.6571678982585,4.05233986461484,0.223108779631914,0.0134108895172211
"Suisun Marsh",0.595522523828808,0.177828503660952,0.380733100990303,0.199284952038686,0.585660964625896,0.173901926629618,0.589314852138285,0.238486368429956,0.677081318238029,0.252639374450672,0.977777071284116,0.0180041406062477,0.768170473568344,0.0892795585706189,5.58511397805809,1.3125000252906,19.7204409416188,2.63169078685888,0.334085205447981,0.024067738864016
"Yolo Bypass",0.547648913543101,0.0114509378508923,0.221457904195819,0.213627702729677,0.349031448618301,0.142885595603618,1,0,0.417631722997435,0.410181431222432,0.708965310740939,0.23468660856721,0.220807496907929,0.0209500057051921,0.113457969998114,0.0201177425577278,21.3452996030558,3.62976038879696,0.226824556241919,0.0114888583684129
"SummerFall",0.544147677723932,0.173974807365632,0.288081026726378,0.191171895479293,0.529448018351021,0.166689083577174,0.647570690818406,0.377846191434464,0.617206202387859,0.331323871887163,0.978508056273278,0.0418870524574784,0.635946356251726,0.200452154121333,5.01983318415325,3.5877222638068,20.07430236868,2.64967062878155,0.448163211575014,0.077464753139416
"Delta",0.456285890305382,0.170450166165828,0.226149765718193,0.189259008918457,0.38811116959394,0.192189364034824,0.685488478156341,0.406255945784746,0.558222924456853,0.379467964401876,0.867241755922386,0.242282757013583,0.433516406257217,0.323691999621125,4.40213173795398,5.09092862283034,20.7784954111881,2.95640311859639,0.457006006099891,0.220611545783189
