"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.541003131398417,0.166607264938524,0.2603256503759,0.174678855386115,0.537531555908182,0.164886338396227,0.788156350348646,0.198112615041662,0.549816515763736,0.353226631413541,0.995230601789836,0.00576416345076641,0.542767884607975,0.0995633871283402,4.10709437021678,1.6191941714973,20.6048230341675,2.57049499108513,0.525191206968783,0.0254942534408011
"East Delta",0.440699304833823,0.0425566746870858,0.155542839343907,0.212330498695396,0.262096968218813,0.150364965363669,1,0,0.353553529894345,0.467779752574418,0.619648360505043,0.304834369362486,0.0271620178335066,0.0560053484087725,0.084142880639583,0.00310010219206778,21.9997617893265,3.47812630586613,0.210936383111288,0.00907537987700085
"Lower Sacramento River",0.647000372749168,0.0473115256093076,0.257713574298931,0.268533161781428,0.592243919386825,0.0695606698599339,0.986699760638357,0.0188427146534312,0.438841066882449,0.407279287211709,0.926454224835834,0.0831204245392824,0.403828506057384,0.0802234691153671,1.77811893969827,0.783411779701666,20.9734140995015,2.81829760695583,0.468643364566029,0.0199969674258545
"Lower San Joaquin River",0.482704858678951,0.080534300850945,0.184666110127003,0.239802389229618,0.351934482771568,0.139369686247039,0.999924660243443,0.000185476178047726,0.364068450933139,0.459473889717118,0.684262564867234,0.258769981713859,0.105957340241035,0.141707379435979,0.624997582290504,0.29233825144836,21.7160662830594,3.24726117008635,0.321720090365867,0.0147985268627904
"NE Suisun",0.385975755328529,0.166624892856322,0.262459273182744,0.156398280875205,0.384539354293379,0.165892468058324,0.169985829526987,0.29181511897591,0.688366346099669,0.26587589686947,0.997375685845281,0.0032726367767678,0.799782471461981,0.131684078637026,9.03930935087453,2.33004868321113,20.287044036703,2.42205368546989,0.467840988572142,0.0229673141088443
"NW Suisun",0.333151639958512,0.0984047348518215,0.234733037080315,0.109531123140998,0.329507075674201,0.096152883621762,0.119450391538178,0.171489914063953,0.782610823519937,0.185304609232261,0.995936235610271,0.00587230871230588,0.830720000238311,0.133006192873021,10.5652641589459,1.70060122124741,18.8282477838383,2.81673745394119,0.439646985862478,0.0324551413893345
"SE Suisun",0.26671414285565,0.135485341291217,0.173149474310533,0.122614694448051,0.266391634997809,0.135294200983198,0.177664344711196,0.231591465173977,0.655661667575773,0.300189945692621,0.99931657016431,0.000939153327807201,0.693688823990857,0.147228339260726,9.73824701831733,2.2841241538958,20.4459856423986,2.43831678868151,0.807950107428297,0.039081388636189
"SW Suisun",0.14240306079582,0.0246653788927428,0.106232873972858,0.0296249083555896,0.142398087169956,0.0246580762071027,0.00407112548858269,0.0121920169896192,0.77321856367064,0.22234067429362,0.999973911237865,6.3821913005423e-05,0.675311892216699,0.129219436015288,16.473053233833,1.88848588916975,20.1593205937966,2.49678256518667,0.944515009072443,0.0716406445225966
"Sacramento River",0.427579204793692,0.0178575286468248,0.166245044261551,0.186837774449859,0.371547098880607,0.0589873131376495,1,0,0.393716830938001,0.443991411562378,0.92305941933734,0.0937557127619618,0.014152244292776,0.0225153888239361,0.0866862632439217,0.00604599032513036,21.0910247074634,3.04488587840138,0.457031474977035,0.0258332216748182
"South Delta",0.480144662759417,0.0501055495880339,0.16778242750673,0.224059550966243,0.219566741631838,0.19267358780418,1,0,0.350990470409239,0.462983877495907,0.445782243934427,0.407182719912057,0.122641265275983,0.0740497187520179,0.256821567426074,0.0776984113788131,22.6519031499925,4.14420840523105,0.226620535057172,0.0122367179107253
"Suisun Marsh",0.540140600806592,0.193741996143366,0.345081397527402,0.20545748143455,0.529204376622233,0.191343462923418,0.492644131976138,0.276661021963924,0.670132753110172,0.262974134105482,0.973965513796919,0.023727039727369,0.769817992970345,0.0898801094440574,5.98463660941556,1.1045771135168,19.6712586775079,2.80562138630233,0.331803766495852,0.0236571824904409
"Yolo Bypass",0.549323631071213,0.0105249977009322,0.230250621037156,0.205054107238067,0.348321163275643,0.142324048587253,1,0,0.431815867349107,0.395988910300925,0.696203333561618,0.239227649089341,0.225204794695457,0.0215272074265256,0.116291549399101,0.0198353133425475,21.2058322890275,3.57130617059395,0.220176390992014,0.012195136956836
"SummerFall",0.515323936228172,0.176355519462746,0.274463414820637,0.1949327172131,0.49712173189786,0.167867968413184,0.59673765862533,0.378373220040817,0.610350289819073,0.328575863952058,0.972896644008215,0.0505695446867852,0.636783595968504,0.200206615459444,5.60877851956913,3.51735332841012,20.0194358987538,2.77872408654981,0.441321330973285,0.0754033610000619
"Delta",0.436403363835815,0.167295792890588,0.212015193585419,0.190194170564355,0.361273538235921,0.184673200906232,0.644883049539294,0.427776469550618,0.537732740512184,0.383781108921675,0.854767388790498,0.253061887550211,0.434252936156859,0.323720652982202,4.90455529369171,5.39756017209128,20.8028901738986,3.05696005906196,0.451839691955783,0.220657777492029
