"Region","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.188167339026114,0.272763626354613,0.265308961543209,0.243927504613294,0.414367586010877,0.404724394450678,0.351332159286222,0.463872521846639,0.609401509209331,0.398042360792061,0.538723528855454,0.101843000747195,7.66829910961297,4.24466480022406,21.9221525176959,3.42871904096053,0.523455544504363,0.0308065338986445
"East Delta",0.164375789519265,0.209035434349704,0.200011855862701,0.210593257292825,1,0,0.385265550707048,0.455125793647132,0.461294806786547,0.45902627807462,0.0283502296405204,0.0584788775803574,0.159707252474233,0.0583538069940001,22.9356038402669,5.03882026024247,0.212635645189783,0.0156667058844397
"Lower Sacramento River",0.223296388058431,0.296172898788973,0.313667664388553,0.286885245574633,0.685645597132815,0.348542881206611,0.365962445718157,0.460980274830394,0.536863491719136,0.440453103307244,0.40328062712971,0.0799947496406076,4.55387776468413,3.2035516060649,22.0049048811623,4.01687480201778,0.469920890546881,0.0248015221943451
"Lower San Joaquin River",0.167760705162435,0.246537995210842,0.19931754829072,0.238638344227494,0.967370214783442,0.0447067304533416,0.333470111960008,0.470818748106612,0.396873412923123,0.46390121058977,0.106909957676752,0.138145287366868,2.02770194332667,1.20844420919713,23.1496086586577,4.07161557838917,0.324826578297793,0.0151179329175354
"NE Suisun",0.133788166419804,0.20426091249519,0.279496732042745,0.138797579831999,0.0838845608579653,0.246008535062374,0.364935680038919,0.465334587911963,0.805509070106286,0.258721020579503,0.800302853592574,0.131459908036274,13.0765216038738,4.6101553279293,21.6623431867554,3.07260111405277,0.452527725063307,0.0214153928388729
"NW Suisun",0.111340755536495,0.141064211952001,0.259415396044419,0.0663186210650561,0.0222430386272991,0.0643321344934877,0.489654235386502,0.380062320034894,0.878659208340948,0.165489595789007,0.830441498877776,0.133026404525793,15.8675650505183,4.13651866925358,20.6783216572167,3.21287983559787,0.451134508192996,0.0321958222229608
"SE Suisun",0.0907883267245826,0.146474949769229,0.186373101063896,0.104937247827163,0.0900780471657515,0.206580795872384,0.3480206739335,0.472866381436546,0.808292274217919,0.268934944406448,0.694891693730127,0.14693262386313,13.7240060925772,4.60626030295752,21.7034461680779,3.11744411216454,0.805435844996218,0.0415354930676523
"SW Suisun",0.0539776251085849,0.0634561930741453,0.152774999049099,0.0291487563089022,0.00451504137316346,0.0142732914631412,0.383192554425648,0.457019904644385,0.945897814883538,0.12044787987703,0.670330706851208,0.129266411976747,20.1786049936926,3.71788669464585,21.1648747924476,3.03623189136526,0.862306175860955,0.0597879963746019
"Sacramento River",0.201700988032825,0.19948235687751,0.235945883210936,0.194819404305058,0.998239348564917,0.00290877923019671,0.506492696044116,0.495725733755519,0.567877624601407,0.469731491082071,0.0140430498033354,0.0223473934131948,0.199048245201303,0.13514357647795,21.1435384322635,5.35241741143808,0.429695366470143,0.0555592011240394
"South Delta",0.167700386312571,0.220315078416755,0.210444797146148,0.206078287989551,1,0,0.350304049643051,0.455264937974004,0.441031408170264,0.430977006995154,0.122064901115237,0.072099440481867,0.571781250596408,0.187288003619899,23.1888432138411,4.38128848467686,0.213397163150792,0.00663834789565836
"Suisun Marsh",0.147054935412941,0.14562333109764,0.250515792418811,0.112539746626047,0.093094830958149,0.110977014454594,0.449684731014342,0.408187397032152,0.727886001556062,0.286298845800648,0.769996936194899,0.0884082611391485,12.3572656661116,3.20604568034504,21.0146318585119,3.63494892695924,0.33921625293158,0.0246453641611049
"Yolo Bypass",0.220770419851067,0.219424065851244,0.287017688635472,0.209776457033614,1,0,0.400453862084094,0.435570439771515,0.525344294159972,0.428284820472317,0.225424582186191,0.0216121198237694,0.332653588979606,0.167033779187557,21.9997001602562,4.67101753778482,0.228156364655416,0.0127230970027576
"SummerFall",0.167464854508495,0.220729278291107,0.272226953598748,0.193073066272128,0.303837763182285,0.376647452404955,0.414158392851306,0.416980012910088,0.688202552706369,0.351762256900885,0.63561064776446,0.200919660498118,10.1117518977318,5.66443328978854,21.4050027286467,3.49328823388886,0.445931799043955,0.0731839870838782
"Delta",0.155893485430426,0.202850816854449,0.236690868308059,0.183103616243692,0.529953188789532,0.466945722634067,0.394064062520134,0.434793658328361,0.642077576389545,0.393501113537319,0.433730047137815,0.323148135023273,7.55975271347074,7.51198209322822,21.8806641139294,3.89017076409276,0.442725671655019,0.205562823975996
