"WYT","Region","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"W","NE Suisun","0.343 (-0.38)","0.408 (-0.262)",0.553,"0.541 (-0.022)","0.535 (-0.033)","0.542 (-0.02)","0.542 (-0.02)"
"W","NW Suisun","0.316 (-0.183)","0.314 (-0.189)",0.387,"0.378 (-0.023)","0.373 (-0.036)","0.379 (-0.021)","0.379 (-0.021)"
"W","SE Suisun","0.227 (-0.419)","0.29 (-0.258)",0.391,"0.383 (-0.02)","0.379 (-0.031)","0.384 (-0.018)","0.384 (-0.018)"
"W","SW Suisun","0.163 (0.038)","0.157 (0)",0.157,"0.157 (0)","0.156 (-0.006)","0.157 (0)","0.157 (0)"
"W","Sacramento River","0.423 (0.002)","0.426 (0.009)",0.422,"0.422 (0)","0.422 (0)","0.422 (0)","0.422 (0)"
"W","South Delta","0.48 (0.002)","0.48 (0.002)",0.479,"0.479 (0)","0.479 (0)","0.479 (0)","0.479 (0)"
"W","Suisun Marsh","0.352 (-0.442)","0.427 (-0.323)",0.631,"0.619 (-0.019)","0.612 (-0.03)","0.62 (-0.017)","0.62 (-0.017)"
"W","Yolo Bypass","0.549 (0.002)","0.548 (0)",0.548,"0.548 (0)","0.548 (0)","0.548 (0)","0.548 (0)"
"W","SummerFall","0.383 (-0.345)","0.509 (-0.13)",0.585,"0.579 (-0.01)","0.576 (-0.015)","0.58 (-0.009)","0.58 (-0.009)"
"W","Delta","0.385 (-0.205)","0.439 (-0.093)",0.484,"0.481 (-0.006)","0.479 (-0.01)","0.481 (-0.006)","0.481 (-0.006)"
